activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,87558,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,,,CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL55440,,CHEMBL55440,5.00,False,http://www.openphacts.org/units/Nanomolar,206086,=,1,True,=,,IC50,nM,,10000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,0.01
,87560,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,,,CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL55440,,CHEMBL55440,5.00,False,http://www.openphacts.org/units/Nanomolar,206086,=,1,True,=,,IC50,nM,,10000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,0.01
,90500,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1cc([N+](=O)[O-])c(C(=O)O)c([N+](=O)[O-])c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL111756,,CHEMBL111756,,False,http://www.openphacts.org/units/Nanomolar,206095,=,1,True,=,,IC50,nM,,1000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,1.0
,90502,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1cc([N+](=O)[O-])c(C(=O)O)c([N+](=O)[O-])c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL111756,,CHEMBL111756,,False,http://www.openphacts.org/units/Nanomolar,206095,=,1,True,=,,IC50,nM,,3000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,3.0
,92527,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)C(O)CO,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL420491,,CHEMBL420491,,False,http://www.openphacts.org/units/Nanomolar,206089,=,1,True,=,,IC50,nM,,5000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,5.0
,92529,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)C(O)CO,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL420491,,CHEMBL420491,,False,http://www.openphacts.org/units/Nanomolar,206089,=,1,True,=,,IC50,nM,,4000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,4.0
,92531,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CCCN,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL109781,,CHEMBL109781,,False,http://www.openphacts.org/units/Nanomolar,206087,>,1,True,>,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,92533,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CCCN,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL109781,,CHEMBL109781,,False,http://www.openphacts.org/units/Nanomolar,206087,>,1,True,>,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,93522,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1c(N)cc(C(=O)O)cc1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL109005,,CHEMBL109005,,False,http://www.openphacts.org/units/Nanomolar,206093,>,1,True,>,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,93524,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1c(N)cc(C(=O)O)cc1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL109005,,CHEMBL109005,,False,http://www.openphacts.org/units/Nanomolar,206093,>,1,True,>,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,93526,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CN,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL109939,,CHEMBL109939,,False,http://www.openphacts.org/units/Nanomolar,206088,=,1,True,=,,IC50,nM,,5000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,5.0
,93528,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CN,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL109939,,CHEMBL109939,,False,http://www.openphacts.org/units/Nanomolar,206088,=,1,True,=,,IC50,nM,,5000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,5.0
,94448,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1OC(C)=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL109004,,CHEMBL109004,,False,http://www.openphacts.org/units/Nanomolar,206091,>,1,True,>,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,94450,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1OC(C)=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL109004,,CHEMBL109004,,False,http://www.openphacts.org/units/Nanomolar,206091,=,1,True,=,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,95432,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL1145,3-HYDROXY-4-ACETYLAMINOBENZOIC ACID,CHEMBL1145,,False,http://www.openphacts.org/units/Nanomolar,206081,>,1,True,>,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,95434,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL1145,3-HYDROXY-4-ACETYLAMINOBENZOIC ACID,CHEMBL1145,,False,http://www.openphacts.org/units/Nanomolar,206081,=,1,True,=,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,104437,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)N[C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,,,CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL96712,NEU5AC2EN,CHEMBL96712,4.82,False,http://www.openphacts.org/units/Nanomolar,206083,=,1,True,=,,IC50,nM,,15000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,0.015
,104439,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)N[C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,,,CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL96712,NEU5AC2EN,CHEMBL96712,4.82,False,http://www.openphacts.org/units/Nanomolar,206083,=,1,True,=,,IC50,nM,,15000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,0.015
,229390,[],CHEMBL698772,Compound was evaluated for antiviral activity against Influenza virus A/PR/8,F,BAO_0000190,BAO_0000218,organism-based format,CCCCCCC/C=C\C[C@H]1CCC[C@@H]2CCCN12,,,CHEMBL1133267,Bioorg. Med. Chem. Lett.,2000,,CHEMBL300932,,CHEMBL300932,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,86580,=,1,True,=,,IC50,ug.mL-1,,3.72,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ug ml-1,UO_0000274,,3.72
,241163,[],CHEMBL698772,Compound was evaluated for antiviral activity against Influenza virus A/PR/8,F,BAO_0000190,BAO_0000218,organism-based format,CCCCCCC/C=C\C[C@@H]1CCC[C@@H]2CCCN12,,,CHEMBL1133267,Bioorg. Med. Chem. Lett.,2000,,CHEMBL54150,,CHEMBL54150,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,86582,=,1,True,=,,IC50,ug.mL-1,,4.2,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ug ml-1,UO_0000274,,4.2
,254760,[],CHEMBL698772,Compound was evaluated for antiviral activity against Influenza virus A/PR/8,F,BAO_0000190,BAO_0000218,organism-based format,CCCCCCC/C=C/C[C@H]1CCC[C@@H]2CCCN12,,,CHEMBL1133267,Bioorg. Med. Chem. Lett.,2000,,CHEMBL50902,,CHEMBL50902,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,86579,=,1,True,=,,IC50,ug.mL-1,,4.84,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ug ml-1,UO_0000274,,4.84
,262779,[],CHEMBL698772,Compound was evaluated for antiviral activity against Influenza virus A/PR/8,F,BAO_0000190,BAO_0000218,organism-based format,CCCCCCC/C=C/C[C@@H]1CCC[C@@H]2CCCN12,,,CHEMBL1133267,Bioorg. Med. Chem. Lett.,2000,,CHEMBL53632,,CHEMBL53632,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,86581,=,1,True,=,,IC50,ug.mL-1,,1.45,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ug ml-1,UO_0000274,,1.45
,311459,[],CHEMBL882146,Inhibitory concentration by Sialidase inhibitory assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,,,CHEMBL1135182,Bioorg. Med. Chem. Lett.,2002,,CHEMBL410671,,CHEMBL410671,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,99211,=,1,True,=,,IC50,ug.mL-1,,0.062,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ng ml-1,UO_0000274,,62.0
,311461,[],CHEMBL699367,Inhibitory concentration by Plaque reduction assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,,,CHEMBL1135182,Bioorg. Med. Chem. Lett.,2002,,CHEMBL410671,,CHEMBL410671,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,99211,=,1,True,=,,IC50,ug.mL-1,,0.0021,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ng ml-1,UO_0000274,,2.1
,316489,[],CHEMBL882146,Inhibitory concentration by Sialidase inhibitory assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,,,CHEMBL1135182,Bioorg. Med. Chem. Lett.,2002,,CHEMBL60586,,CHEMBL60586,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,99212,=,1,True,=,,IC50,ug.mL-1,,0.364,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ng ml-1,UO_0000274,,364.0
,316491,[],CHEMBL699367,Inhibitory concentration by Plaque reduction assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,,,CHEMBL1135182,Bioorg. Med. Chem. Lett.,2002,,CHEMBL60586,,CHEMBL60586,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,99212,=,1,True,=,,IC50,ug.mL-1,,0.00017,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ng ml-1,UO_0000274,,0.17
,321456,[],CHEMBL873112,Inhibitory concentration by Sialidase inhibitory assay; range- 11-29 ng/mL,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,,,CHEMBL1135182,Bioorg. Med. Chem. Lett.,2002,,CHEMBL222813,ZANAMIVIR,CHEMBL222813,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,99202,=,1,True,=,,IC50,ug.mL-1,,0.011,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ng ml-1,UO_0000274,,11.0
,321458,[],CHEMBL699370,Inhibitory concentration by Plaque reduction assay; range- 13-27ng/mL,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,,,CHEMBL1135182,Bioorg. Med. Chem. Lett.,2002,,CHEMBL222813,ZANAMIVIR,CHEMBL222813,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,99202,=,1,True,=,,IC50,ug.mL-1,,0.0013,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ng ml-1,UO_0000274,,1.3
,322787,[],CHEMBL882146,Inhibitory concentration by Sialidase inhibitory assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,,,CHEMBL1135182,Bioorg. Med. Chem. Lett.,2002,,CHEMBL266691,,CHEMBL266691,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,99206,=,1,True,=,,IC50,ug.mL-1,,0.161,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ng ml-1,UO_0000274,,161.0
,322789,[],CHEMBL699367,Inhibitory concentration by Plaque reduction assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,,,CHEMBL1135182,Bioorg. Med. Chem. Lett.,2002,,CHEMBL266691,,CHEMBL266691,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,99206,=,1,True,=,,IC50,ug.mL-1,,0.000072,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ng ml-1,UO_0000274,,0.072
,325162,[],CHEMBL882146,Inhibitory concentration by Sialidase inhibitory assay,F,BAO_0000190,BAO_0000218,organism-based format,CCCCCNC(=O)CC[C@H](N)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O,,,CHEMBL1135182,Bioorg. Med. Chem. Lett.,2002,,CHEMBL386285,,CHEMBL386285,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,99209,=,1,True,=,,IC50,ug.mL-1,,0.113,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,ng ml-1,UO_0000274,,113.0
